geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
California,American Indian or Alaska Native and White,0400000US06,8,169055,2715,133530,1999,168500,2686,133010,1979
California,Asian and White,0400000US06,9,560105,9532,293810,6232,529905,9161,270625,5869
California,Black or African American and White,0400000US06,10,244510,6210,130130,3679,240100,6380,126500,3734
California,American Indian or Alaska Native and Black or African American,0400000US06,11,29265,1641,23190,1327,29160,1635,23085,1324
California,Remainder of Two or More Race Responses,0400000US06,12,250185,6584,157085,4409,242050,6474,149695,4221
California,Hispanic or Latino,0400000US06,13,15380930,0,10764680,177,12330050,25845,7861160,24304
Colorado,Total,0400000US08,1,5684925,0,4425895,606,5387870,5345,4153975,4968
Colorado,Not Hispanic or Latino,0400000US08,2,4453800,429,3591320,733,4339050,3090,3489605,3054
Colorado,American Indian or Alaska Native Alone,0400000US08,3,29505,1113,23805,899,29430,1110,23730,895
Colorado,Asian Alone,0400000US08,4,179560,2121,142585,1395,128865,2401,97800,1911
Colorado,Black or African American Alone,0400000US08,5,226390,2325,171975,1463,209120,2416,157560,1750
Colorado,Native Hawaiian or Other Pacific Islander Alone,0400000US08,6,7825,703,6135,573,6750,647,5245,524
Colorado,White Alone,0400000US08,7,3862200,423,3158825,415,3819775,2165,3119900,1928
Colorado,American Indian or Alaska Native and White,0400000US08,8,34440,1138,26825,862,34375,1142,26760,863
Colorado,Asian and White,0400000US08,9,49370,2083,26340,1462,47055,2111,24610,1436
Colorado,Black or African American and White,0400000US08,10,41670,1969,20255,1220,41290,1980,19885,1259
Colorado,American Indian or Alaska Native and Black or African American,0400000US08,11,3485,789,2860,594,3465,784,2840,584
Colorado,Remainder of Two or More Race Responses,0400000US08,12,19355,1452,11710,1048,18925,1414,11275,993
Colorado,Hispanic or Latino,0400000US08,13,1231125,428,834575,411,1048820,4524,664370,4067
Connecticut,Total,0400000US09,1,3570550,0,2834965,141,3329020,5051,2615815,4479
Connecticut,Not Hispanic or Latino,0400000US09,2,2983335,0,2428405,139,2836120,3541,2295560,3111
Connecticut,American Indian or Alaska Native Alone,0400000US09,3,5065,549,3830,400,4930,535,3695,379
Connecticut,Asian Alone,0400000US09,4,164025,1681,128960,939,110710,2128,80915,1625
Connecticut,Black or African American Alone,0400000US09,5,356380,2348,276945,1602,325165,2899,249410,2230
Connecticut,Native Hawaiian or Other Pacific Islander Alone,0400000US09,6,955,199,755,171,895,181,695,152
Connecticut,White Alone,0400000US09,7,2375220,30,1974630,30,2315780,2375,1920005,2126
Connecticut,American Indian or Alaska Native and White,0400000US09,8,10660,549,7990,405,10635,550,7970,408
Connecticut,Asian and White,0400000US09,9,22740,1623,9790,859,21545,1564,8875,832
Connecticut,Black or African American and White,0400000US09,10,33765,1913,15455,1214,32400,1872,14305,1205
Connecticut,American Indian or Alaska Native and Black or African American,0400000US09,11,3945,624,3300,574,3920,619,3275,569
Connecticut,Remainder of Two or More Race Responses,0400000US09,12,10590,1117,6750,858,10135,1070,6420,830
Connecticut,Hispanic or Latino,0400000US09,13,587210,0,406560,0,492895,3841,320255,3515
Delaware,Total,0400000US10,1,967680,0,763470,34,923475,1752,723160,1485
Delaware,Not Hispanic or Latino,0400000US10,2,876330,0,705310,32,851760,1329,682920,1129
Delaware,American Indian or Alaska Native Alone,0400000US10,3,2860,228,2535,204,2815,225,2520,207
Delaware,Asian Alone,0400000US10,4,38840,810,30360,559,25295,900,17900,729
Delaware,Black or African American Alone,0400000US10,5,208795,1912,157680,1280,202560,2097,152135,1455
Delaware,Native Hawaiian or Other Pacific Islander Alone,0400000US10,6,325,76,275,79,310,80,255,90
Delaware,White Alone,0400000US10,7,599235,29,500685,29,594990,517,496740,501
Delaware,American Indian or Alaska Native and White,0400000US10,8,2595,228,1890,204,2595,228,1890,204
Delaware,Asian and White,0400000US10,9,4260,700,2260,457,4030,701,2080,458
Delaware,Black or African American and White,0400000US10,10,14175,1742,6385,1222,14155,1740,6375,1221
Delaware,American Indian or Alaska Native and Black or African American,0400000US10,11,1610,568,1185,338,1610,568,1185,338
Delaware,Remainder of Two or More Race Responses,0400000US10,12,3635,765,2065,495,3400,726,1835,425
Delaware,Hispanic or Latino,0400000US10,13,91350,0,58160,0,71710,1228,40240,1140
District of Columbia,Total,0400000US11,1,701975,0,575925,85,650725,2316,528025,2224
District of Columbia,Not Hispanic or Latino,0400000US11,2,623995,0,518965,85,594720,1834,491355,1770
District of Columbia,American Indian or Alaska Native Alone,0400000US11,3,1355,141,1200,122,1355,141,1200,122
District of Columbia,Asian Alone,0400000US11,4,28865,598,26170,448,20890,902,18570,762
District of Columbia,Black or African American Alone,0400000US11,5,314940,1231,247165,1019,306495,1549,239555,1325
District of Columbia,Native Hawaiian or Other Pacific Islander Alone,0400000US11,6,285,66,285,66,270,64,270,64
District of Columbia,White Alone,0400000US11,7,260315,31,232175,31,248100,1119,220365,1076
District of Columbia,American Indian or Alaska Native and White,0400000US11,8,725,139,680,128,700,131,650,121
District of Columbia,Asian and White,0400000US11,9,6290,594,4070,453,5900,566,3685,422
District of Columbia,Black or African American and White,0400000US11,10,6765,869,4015,731,6650,863,3950,728
District of Columbia,American Indian or Alaska Native and Black or African American,0400000US11,11,1930,684,1575,636,1930,684,1575,636
District of Columbia,Remainder of Two or More Race Responses,0400000US11,12,2525,519,1635,306,2430,496,1540,282
District of Columbia,Hispanic or Latino,0400000US11,13,77980,0,56960,0,56005,1556,36670,1309
Florida,Total,0400000US12,1,21216925,0,17002480,733,19327825,22527,15296735,19887
Florida,Not Hispanic or Latino,0400000US12,2,15748100,159,12825395,567,15026795,12242,12174580,10997
Florida,American Indian or Alaska Native Alone,0400000US12,3,39905,1574,33250,1329,38935,1513,32325,1259
Florida,Asian Alone,0400000US12,4,592225,3992,481485,2508,439145,4745,342640,3716
Florida,Black or African American Alone,0400000US12,5,3271605,6803,2442025,3737,3023200,10062,2221110,7711
Florida,Native Hawaiian or Other Pacific Islander Alone,0400000US12,6,12500,855,10225,696,10655,844,8405,739
Florida,White Alone,0400000US12,7,11425905,34,9637975,7,11123320,7038,9361805,6200
Florida,American Indian or Alaska Native and White,0400000US12,8,66605,1657,54140,1375,66180,1647,53720,1367
Florida,Asian and White,0400000US12,9,94210,3572,50810,2209,89750,3501,47275,2172
Florida,Black or African American and White,0400000US12,10,170405,5455,66655,3030,165560,5221,62725,2861
Florida,American Indian or Alaska Native and Black or African American,0400000US12,11,9565,1132,7885,913,9435,1110,7755,892
Florida,Remainder of Two or More Race Responses,0400000US12,12,65170,4235,40945,2460,60615,4256,36825,2438
Florida,Hispanic or Latino,0400000US12,13,5468825,159,4177085,366,4301025,16677,3122155,14445
Georgia,Total,0400000US13,1,10516580,0,8011265,810,9933745,9783,7482330,8822
Georgia,Not Hispanic or Latino,0400000US13,2,9503520,623,7362175,847,9212290,6494,7104680,5838
Georgia,American Indian or Alaska Native Alone,0400000US13,3,17555,1023,14855,867,17340,1023,14645,872
Georgia,Asian Alone,0400000US13,4,435155,2626,338740,1617,287445,3440,208100,2719
Georgia,Black or African American Alone,0400000US13,5,3295835,5642,2462220,3309,3226540,6473,2402130,4496
Georgia,Native Hawaiian or Other Pacific Islander Alone,0400000US13,6,5695,752,4015,500,5085,792,3555,533
Georgia,White Alone,0400000US13,7,5514580,778,4420400,570,5446410,3958,4358340,3533
Georgia,American Indian or Alaska Native and White,0400000US13,8,33875,1252,26960,1063,33825,1260,26910,1072
Georgia,Asian and White,0400000US13,9,48785,2667,23635,1521,46625,2605,22205,1515
Georgia,Black or African American and White,0400000US13,10,104495,4283,41380,2307,102445,4179,39570,2233
Georgia,American Indian or Alaska Native and Black or African American,0400000US13,11,11595,1472,8980,1076,11545,1464,8930,1074
Georgia,Remainder of Two or More Race Responses,0400000US13,12,35955,2550,20990,1769,35025,2531,20290,1752
Georgia,Hispanic or Latino,0400000US13,13,1013055,623,649090,701,721455,5837,377650,5280
Hawaii,Total,0400000US15,1,1420075,0,1117825,0,1312950,3642,1020515,3286
Hawaii,Not Hispanic or Latino,0400000US15,2,1267510,0,1023325,0,1166310,3560,931285,3169
Hawaii,American Indian or Alaska Native Alone,0400000US15,3,2120,346,1805,297,2010,331,1700,283
Hawaii,Asian Alone,0400000US15,4,523740,4000,452555,2933,453805,3946,388655,3030
Hawaii,Black or African American Alone,0400000US15,5,25400,853,21170,611,24655,820,20485,602
Hawaii,Native Hawaiian or Other Pacific Islander Alone,0400000US15,6,137405,2034,100730,1344,117970,2477,83670,1744
Hawaii,White Alone,0400000US15,7,308365,28,268335,28,299845,767,260110,708
Hawaii,American Indian or Alaska Native and White,0400000US15,8,6650,346,5730,296,6540,365,5635,302
Hawaii,Asian and White,0400000US15,9,66610,2341,41265,1643,65885,2347,40745,1641
Hawaii,Black or African American and White,0400000US15,10,5990,767,3245,532,5925,769,3180,528
Hawaii,American Indian or Alaska Native and Black or African American,0400000US15,11,910,372,775,298,910,372,775,298
Hawaii,Remainder of Two or More Race Responses,0400000US15,12,190320,4517,127720,2975,188765,4440,126325,2903
Hawaii,Hispanic or Latino,0400000US15,13,152565,0,94505,0,146640,807,89235,745
Idaho,Total,0400000US16,1,1754365,0,1309770,325,1695545,2209,1255410,1959
Idaho,Not Hispanic or Latino,0400000US16,2,1531400,0,1169085,296,1511610,1545,1151775,1347
Idaho,American Indian or Alaska Native Alone,0400000US16,3,18885,751,14815,601,18850,752,14775,601
Idaho,Asian Alone,0400000US16,4,23450,943,18915,694,16445,1032,12545,771
Idaho,Black or African American Alone,0400000US16,5,10565,846,7365,532,9035,751,6385,491
Idaho,Native Hawaiian or Other Pacific Islander Alone,0400000US16,6,2610,344,2025,260,2330,344,1745,268
Idaho,White Alone,0400000US16,7,1436210,126,1102810,122,1425550,1176,1093420,962
Idaho,American Indian or Alaska Native and White,0400000US16,8,13770,718,9865,559,13770,718,9865,558
Idaho,Asian and White,0400000US16,9,12495,980,6660,678,12380,984,6555,691
Idaho,Black or African American and White,0400000US16,10,7150,924,3210,535,7060,927,3130,540
Idaho,American Indian or Alaska Native and Black or African American,0400000US16,11,245,111,235,109,245,111,235,109
Idaho,Remainder of Two or More Race Responses,0400000US16,12,6020,869,3190,531,5945,867,3115,534
Idaho,Hispanic or Latino,0400000US16,13,222965,0,140685,117,183935,1951,103635,1700
Illinois,Total,0400000US17,1,12716165,0,9860730,625,11866595,10222,9064395,9257
Illinois,Not Hispanic or Latino,0400000US17,2,10525470,238,8369130,592,10126825,7349,8005925,6363
Illinois,American Indian or Alaska Native Alone,0400000US17,3,13740,836,11155,682,13350,850,10840,709
Illinois,Asian Alone,0400000US17,4,709935,3266,566660,2209,509265,4121,384130,3617
Illinois,Black or African American Alone,0400000US17,5,1775585,4688,1346225,2775,1740955,4966,1316350,3006
Illinois,Native Hawaiian or Other Pacific Islander Alone,0400000US17,6,3690,489,3000,435,3300,463,2615,405
Illinois,White Alone,0400000US17,7,7769040,196,6309735,194,7614595,4743,6166730,4160
Illinois,American Indian or Alaska Native and White,0400000US17,8,32665,1022,25545,849,32610,1028,25490,855
Illinois,Asian and White,0400000US17,9,84880,3144,41735,2126,78360,2775,36090,1789
Illinois,Black or African American and White,0400000US17,10,101595,4074,42910,2332,100990,4031,42310,2304
Illinois,American Indian or Alaska Native and Black or African American,0400000US17,11,5855,783,4680,561,5825,787,4655,566
Illinois,Remainder of Two or More Race Responses,0400000US17,12,28485,1954,17480,1225,27570,1876,16715,1182
Illinois,Hispanic or Latino,0400000US17,13,2190695,236,1491600,282,1739775,7057,1058475,6606
Indiana,Total,0400000US18,1,6696895,0,5125880,644,6484670,4656,4933505,4323
Indiana,Not Hispanic or Latino,0400000US18,2,6221420,243,4827645,574,6107990,3440,4727340,3083
Indiana,American Indian or Alaska Native Alone,0400000US18,3,10405,696,8645,626,10315,702,8560,620
Indiana,Asian Alone,0400000US18,4,159230,1861,122175,1214,92995,2328,62960,1820
Indiana,Black or African American Alone,0400000US18,5,625390,3401,453420,1897,606425,4192,437460,2482
Indiana,Native Hawaiian or Other Pacific Islander Alone,0400000US18,6,1830,237,1485,220,1595,234,1250,211
Indiana,White Alone,0400000US18,7,5276115,176,4167365,142,5250440,2108,4144105,1811
Indiana,American Indian or Alaska Native and White,0400000US18,8,26480,750,21530,746,26435,747,21485,750
Indiana,Asian and White,0400000US18,9,26595,1626,13405,1036,25390,1605,12440,1026
Indiana,Black or African American and White,0400000US18,10,81870,3151,30580,1804,81525,3081,30430,1786
Indiana,American Indian or Alaska Native and Black or African American,0400000US18,11,2160,398,1905,310,2145,407,1890,318
Indiana,Remainder of Two or More Race Responses,0400000US18,12,11345,1100,7135,741,10720,1003,6760,704
Indiana,Hispanic or Latino,0400000US18,13,475475,243,298235,296,376680,3065,206165,2873
Iowa,Total,0400000US19,1,3150010,0,2421525,629,3049520,3034,2331655,2466
Iowa,Not Hispanic or Latino,0400000US19,2,2955605,148,2302605,568,2893950,2789,2248480,2291
Iowa,American Indian or Alaska Native Alone,0400000US19,3,8080,506,6445,390,8060,502,6425,386
Iowa,Asian Alone,0400000US19,4,79445,1135,60825,781,47080,1538,32215,1099
Iowa,Black or African American Alone,0400000US19,5,114645,1780,77625,1041,99695,1854,65475,1218
Iowa,Native Hawaiian or Other Pacific Islander Alone,0400000US19,6,3645,320,2350,249,2500,394,1400,296
Iowa,White Alone,0400000US19,7,2686585,78,2124760,53,2674135,1303,2113055,1136
Iowa,American Indian or Alaska Native and White,0400000US19,8,11205,529,8345,427,11200,531,8335,428
Iowa,Asian and White,0400000US19,9,14215,1066,6870,645,13770,1039,6445,621
Iowa,Black or African American and White,0400000US19,10,31140,1655,11240,946,31000,1652,11100,956
Iowa,American Indian or Alaska Native and Black or African American,0400000US19,11,1455,416,870,270,1455,416,870,270
Iowa,Remainder of Two or More Race Responses,0400000US19,12,5185,770,3275,574,5055,755,3160,561
Iowa,Hispanic or Latino,0400000US19,13,194405,143,118920,192,155565,1535,83175,1288
Kansas,Total,0400000US20,1,2912620,0,2206645,467,2792980,2576,2097050,2368
Kansas,Not Hispanic or Latino,0400000US20,2,2561015,130,1987300,431,2515130,1870,1946600,1688
Kansas,American Indian or Alaska Native Alone,0400000US20,3,17825,877,13915,683,17815,876,13905,682
Kansas,Asian Alone,0400000US20,4,86120,1586,66785,1189,59110,1695,42775,1338
Kansas,Black or African American Alone,0400000US20,5,160580,2054,120525,1129,154825,2204,115705,1324
Kansas,Native Hawaiian or Other Pacific Islander Alone,0400000US20,6,2065,310,1680,265,1600,320,1275,277
Kansas,White Alone,0400000US20,7,2202705,167,1734730,129,2190950,993,1724075,850
Kansas,American Indian or Alaska Native and White,0400000US20,8,27180,856,20530,738,27175,854,20525,736
Kansas,Asian and White,0400000US20,9,15885,1276,8320,929,15420,1247,7915,903
Kansas,Black or African American and White,0400000US20,10,36155,2082,12860,1077,36010,2067,12710,1070
Kansas,American Indian or Alaska Native and Black or African American,0400000US20,11,2875,610,1920,302,2855,612,1905,302
Kansas,Remainder of Two or More Race Responses,0400000US20,12,9630,1218,6035,807,9365,1156,5815,754
Kansas,Hispanic or Latino,0400000US20,13,351600,130,219350,168,277850,1855,150450,1661
Kentucky,Total,0400000US21,1,4461950,0,3454335,766,4357080,2963,3362355,2765
Kentucky,Not Hispanic or Latino,0400000US21,2,4294005,595,3350485,677,4234310,2582,3300315,2314
Kentucky,American Indian or Alaska Native Alone,0400000US21,3,7135,582,6260,544,7060,563,6185,530
Kentucky,Asian Alone,0400000US21,4,67880,1215,50175,910,41390,1602,28130,1136
Kentucky,Black or African American Alone,0400000US21,5,358960,2288,267440,1374,344965,2481,256525,1895
Kentucky,Native Hawaiian or Other Pacific Islander Alone,0400000US21,6,2705,401,1885,304,2125,415,1310,297
Kentucky,White Alone,0400000US21,7,3764390,370,2976795,348,3747150,1454,2961245,1297
Kentucky,American Indian or Alaska Native and White,0400000US21,8,17480,768,14485,749,17475,771,14485,744
Kentucky,Asian and White,0400000US21,9,14835,1007,7995,684,13945,943,7325,664
Kentucky,Black or African American and White,0400000US21,10,51915,1966,19225,1198,51790,1969,19145,1200
Kentucky,American Indian or Alaska Native and Black or African American,0400000US21,11,2115,533,1775,438,2115,533,1775,438
Kentucky,Remainder of Two or More Race Responses,0400000US21,12,6590,777,4450,622,6290,786,4190,619
Kentucky,Hispanic or Latino,0400000US21,13,167950,596,103850,547,122770,1766,62040,1461
Louisiana,Total,0400000US22,1,4664615,0,3567055,414,4551485,3732,3467870,3166
Louisiana,Not Hispanic or Latino,0400000US22,2,4421245,446,3399765,472,4375425,2408,3358915,2065
Louisiana,American Indian or Alaska Native Alone,0400000US22,3,23345,915,18000,747,23200,907,17850,740
Louisiana,Asian Alone,0400000US22,4,81160,868,64005,639,58320,1755,43855,1409
Louisiana,Black or African American Alone,0400000US22,5,1495285,3757,1097860,2087,1488445,4120,1091925,2388
Louisiana,Native Hawaiian or Other Pacific Islander Alone,0400000US22,6,1525,490,975,327,1485,489,935,320
Louisiana,White Alone,0400000US22,7,2732330,32,2172910,16,2717180,1526,2159040,1365
Louisiana,American Indian or Alaska Native and White,0400000US22,8,20595,977,15535,814,20545,980,15485,822
Louisiana,Asian and White,0400000US22,9,12405,847,6315,586,11840,845,5840,547
Louisiana,Black or African American and White,0400000US22,10,38725,3319,13915,1519,38675,3310,13860,1522
Louisiana,American Indian or Alaska Native and Black or African American,0400000US22,11,5750,1007,4120,723,5745,1008,4110,721
Louisiana,Remainder of Two or More Race Responses,0400000US22,12,10120,1254,6135,826,9995,1266,6005,846
Louisiana,Hispanic or Latino,0400000US22,13,243370,450,167290,465,176060,2677,108950,2215
Maine,Total,0400000US23,1,1340825,0,1089860,185,1319095,1335,1070610,1200
Maine,Not Hispanic or Latino,0400000US23,2,1317680,0,1073960,158,1297770,1241,1056315,1081
Maine,American Indian or Alaska Native Alone,0400000US23,3,8015,484,5950,400,7945,472,5900,391
Maine,Asian Alone,0400000US23,4,15185,581,12310,470,10740,585,8235,566
Maine,Black or African American Alone,0400000US23,5,17875,786,11945,476,12335,796,7825,485
Maine,Native Hawaiian or Other Pacific Islander Alone,0400000US23,6,160,68,140,63,145,65,130,59
Maine,White Alone,0400000US23,7,1248640,26,1026940,26,1239265,802,1017975,781
Maine,American Indian or Alaska Native and White,0400000US23,8,12175,583,8830,451,12160,586,8815,453
Maine,Asian and White,0400000US23,9,6680,552,3685,401,6365,544,3405,403
Maine,Black or African American and White,0400000US23,10,6455,721,2790,457,6425,716,2755,458
Maine,American Indian or Alaska Native and Black or African American,0400000US23,11,270,105,230,96,195,91,175,90
Maine,Remainder of Two or More Race Responses,0400000US23,12,2230,470,1145,238,2190,472,1105,238
Maine,Hispanic or Latino,0400000US23,13,23145,0,15900,99,21325,336,14295,329
Maryland,Total,0400000US24,1,6037625,0,4696860,169,5608850,6629,4313170,5866
Maryland,Not Hispanic or Latino,0400000US24,2,5418205,0,4285295,170,5178315,4901,4071890,4271
Maryland,American Indian or Alaska Native Alone,0400000US24,3,11415,647,9270,501,11250,654,9175,508
Maryland,Asian Alone,0400000US24,4,385480,2401,306385,1626,290035,3129,220035,2623
Maryland,Black or African American Alone,0400000US24,5,1786510,4433,1380720,2489,1695170,5721,1300060,3447
Maryland,Native Hawaiian or Other Pacific Islander Alone,0400000US24,6,2050,257,1775,240,1880,224,1605,230
Maryland,White Alone,0400000US24,7,3050100,30,2490850,30,3002160,2485,2448705,2085
Maryland,American Indian or Alaska Native and White,0400000US24,8,16305,658,12870,529,16225,657,12810,523
Maryland,Asian and White,0400000US24,9,52625,2310,26035,1558,49505,2100,23695,1366
Maryland,Black or African American and White,0400000US24,10,72065,3963,30865,2092,71415,3950,30240,2080
Maryland,American Indian or Alaska Native and Black or African American,0400000US24,11,9960,1110,7840,793,9935,1114,7820,795
Maryland,Remainder of Two or More Race Responses,0400000US24,12,31700,2154,18680,1176,30745,2210,17740,1213
Maryland,Hispanic or Latino,0400000US24,13,619420,0,411565,0,430535,4094,241275,3503
Massachusetts,Total,0400000US25,1,6873005,0,5511035,315,6341935,7757,5030985,6845
Massachusetts,Not Hispanic or Latino,0400000US25,2,6044865,0,4933960,237,5665105,6214,4587785,5772
Massachusetts,American Indian or Alaska Native Alone,0400000US25,3,9725,807,7730,570,9340,785,7395,547
Massachusetts,Asian Alone,0400000US25,4,470290,2105,377040,1467,317110,3575,236055,3161
Massachusetts,Black or African American Alone,0400000US25,5,488810,2972,372985,1922,418290,3672,310425,2986
Massachusetts,Native Hawaiian or Other Pacific Islander Alone,0400000US25,6,2855,413,2275,355,2415,399,1925,339
Massachusetts,White Alone,0400000US25,7,4924105,31,4091400,31,4775600,4345,3955415,3882
Massachusetts,American Indian or Alaska Native and White,0400000US25,8,17955,809,14160,592,17860,813,14060,597
Massachusetts,Asian and White,0400000US25,9,53055,2120,25950,1307,49910,2106,23260,1243
Massachusetts,Black or African American and White,0400000US25,10,57290,2631,28925,1678,54890,2598,26800,1626
Massachusetts,American Indian or Alaska Native and Black or African American,0400000US25,11,4580,1083,3670,749,4555,1084,3650,750
Massachusetts,Remainder of Two or More Race Responses,0400000US25,12,16195,1371,9830,909,15140,1313,8800,858
Massachusetts,Hispanic or Latino,0400000US25,13,828140,0,577070,212,676830,4718,443200,3981
Michigan,Total,0400000US26,1,9973905,0,7812145,318,9656470,5799,7528995,4848
Michigan,Not Hispanic or Latino,0400000US26,2,9452705,76,7476040,291,9212645,5129,7264130,4257
Michigan,American Indian or Alaska Native Alone,0400000US26,3,43490,1209,34280,985,42985,1142,33790,948
Michigan,Asian Alone,0400000US26,4,317735,2230,250070,1425,205270,2755,149420,2216
Michigan,Black or African American Alone,0400000US26,5,1351360,4543,1014345,2861,1332920,4632,999010,2974
Michigan,Native Hawaiian or Other Pacific Islander Alone,0400000US26,6,2915,319,2450,294,2495,258,2085,245
Michigan,White Alone,0400000US26,7,7468335,26,6028170,26,7365795,3928,5937465,3332
Michigan,American Indian or Alaska Native and White,0400000US26,8,61960,1236,45835,1010,61870,1239,45745,1012
Michigan,Asian and White,0400000US26,9,57840,2292,29075,1414,53985,2208,26185,1316
